"","id","nature.of.business","business.cycle","business.type","classification","responsibility.1","responsibility.2","responsibility.3","responsibility.4","knowledge.of.org","products.services","business.orientation","org.governance","business.process.design","risk.mgmt","budgeting","quality.mgmt","process.mgmt","value.realisation","mgmt.multiple.priority","relationship.mgmt","emotional.intelligence","partnering.for.client.success","goal.setting","organisation.structuring","planning.organising","resource.mgmt","strategic.thinking","system.thinking","talent.mgmt","visioning","managing.change","judgement.decision.making","customer.market.focus","performance.planning","programme.mgmt","embracing.challenge","enterprise.analysis","auditing","organisation.comm","public.relations","shareholder.relation","crm","cost.benefit.analysis","fin.risk.mgmt","legal.function","marketing.function","procurement.function","sales.function"
"1107",1107,"technology","growth","others","average","2","2","2","4","3","4","2","2","3","3","3","3","4","4","3","2","4","3","4","3","4","4","2","2","3","3","3","4","4","3","3","2","3","4","3","3","4","3","2","3","4","4","3","4"
"1108",1108,"fmcg","startup","others","aboveaverage","3","5","4","4","5","4","4","4","4","4","4","4","5","5","5","4","4","5","4","4","4","5","4","5","4","4","5","4","5","4","5","4","4","4","4","4","5","4","4","4","4","4","4","4"
"1109",1109,"government","stable","government","average","3","3","4","3","3","4","4","3","3","3","3","2","3","3","4","3","3","3","4","4","4","4","2","3","3","3","3","2","2","3","2","3","3","4","4","4","4","4","4","3","3","4","4","3"
"1110",1110,"services","startup","public","average","2","3","2","3","4","4","3","4","2","2","3","3","3","3","3","3","4","2","2","2","4","3","3","2","4","2","3","3","4","3","3","3","3","3","4","3","2","4","2","2","4","3","4","4"
"1111",1111,"financial","stable","public","aboveaverage","3","4","3","3","4","5","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","5","5","5","4","4","4","5","4","5","4","4","5","4"
"1112",1112,"services","growth","private","aboveaverage","4","3","4","3","5","4","4","5","4","4","5","4","4","4","5","4","5","4","5","5","4","4","4","5","4","4","4","4","4","4","4","5","4","5","4","4","5","4","4","4","4","4","5","4"
"1113",1113,"utilities","startup","private","belowaverage","2","3","3","3","3","4","2","3","3","3","3","4","4","3","3","3","2","4","4","2","3","3","2","4","3","2","4","4","4","2","3","3","3","4","2","3","2","3","3","2","3","3","3","3"
"1114",1114,"utilities","growth","others","aboveaverage","3","3","3","4","4","4","4","5","4","5","5","4","5","5","5","5","4","4","4","4","4","5","4","4","4","4","5","4","4","5","4","4","5","4","4","4","4","4","5","4","4","5","5","5"
"1115",1115,"fmcg","growth","public","aboveaverage","3","3","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","4","4","5","4","4","4","4","4","4","4","4","5","4","4","5","4","4","5","4","4","5","4","4","4"
"1116",1116,"technology","startup","public","exceptional","3","3","4","3","3","4","4","5","5","4","4","4","4","4","4","4","4","4","5","5","4","4","5","5","5","4","5","4","4","4","4","4","5","5","4","4","4","4","5","4","4","5","5","5"
"1117",1117,"technology","growth","others","average","4","4","3","4","4","2","4","4","3","3","2","3","2","2","3","2","3","2","3","3","2","3","3","4","4","3","2","4","3","3","2","3","2","3","2","4","3","2","4","3","3","4","4","2"
"1118",1118,"financial","stable","private","average","3","2","3","4","3","2","3","4","3","4","4","4","2","4","3","3","4","3","4","4","3","4","3","2","2","2","3","4","3","2","4","3","4","3","3","3","3","4","4","4","4","2","2","3"
"1119",1119,"technology","growth","public","aboveaverage","5","4","4","3","4","4","4","4","4","5","5","5","4","4","4","4","5","4","4","4","5","4","4","5","4","4","4","4","4","5","4","4","5","5","5","4","5","5","5","4","4","4","4","4"
"1120",1120,"others","startup","others","average","3","3","3","3","4","3","3","3","2","3","2","4","3","4","3","3","4","3","3","3","3","4","3","2","2","4","4","2","4","4","4","3","3","4","3","3","3","4","3","3","3","3","4","3"
"1121",1121,"services","growth","public","belowaverage","3","3","2","4","3","3","2","4","3","3","3","4","4","4","4","3","3","2","4","2","3","4","2","2","4","2","3","4","4","3","4","4","4","4","2","4","4","3","3","3","3","3","2","3"
"1122",1122,"financial","growth","private","average","3","4","4","2","3","3","2","3","4","2","2","3","4","4","3","4","3","4","2","4","3","3","3","3","3","4","4","4","3","3","2","3","4","3","3","3","2","4","3","4","3","3","4","3"
"1123",1123,"technology","stable","gov-linked","average","2","2","4","4","2","4","4","4","3","3","4","4","3","4","4","4","4","3","3","3","3","3","4","3","3","3","3","2","4","3","3","3","3","2","3","3","4","4","3","3","2","3","3","4"
"1124",1124,"utilities","growth","public","average","4","3","4","2","2","2","2","4","3","3","3","4","4","3","3","2","3","3","4","3","3","3","4","4","4","3","2","2","2","3","2","4","4","4","4","4","3","4","3","4","4","4","3","2"
"1125",1125,"others","growth","gov-linked","average","3","3","4","4","2","3","4","3","4","4","4","3","3","2","2","3","2","3","4","4","4","4","2","4","3","2","3","3","2","3","4","3","3","3","2","4","3","3","3","4","4","4","3","2"
"1126",1126,"technology","startup","private","average","3","2","3","2","4","4","4","2","3","3","4","4","2","2","3","4","3","2","2","2","3","3","4","4","3","3","4","2","2","2","4","4","3","4","3","4","4","4","4","3","3","3","4","4"
"1127",1127,"financial","stable","others","aboveaverage","5","4","4","4","5","5","4","5","4","4","4","4","4","5","4","4","4","5","4","4","4","4","5","4","5","4","4","5","4","5","4","4","5","4","4","4","4","4","4","5","5","4","4","4"
"1128",1128,"utilities","growth","others","average","4","3","2","4","2","3","4","3","4","4","2","2","2","4","3","3","3","3","3","3","4","2","3","2","3","4","3","4","4","4","3","3","2","4","4","4","3","4","4","3","3","4","4","3"
"1129",1129,"utilities","growth","public","aboveaverage","3","4","4","2","4","4","4","4","4","5","4","5","4","5","5","5","5","4","5","4","4","5","5","5","4","4","4","4","4","4","4","4","5","4","4","5","4","4","5","4","4","4","4","4"
"1130",1130,"services","stable","private","aboveaverage","3","5","2","3","5","4","4","4","4","5","4","4","4","5","4","4","4","5","4","4","4","4","4","5","5","5","5","4","5","4","5","4","4","5","4","4","5","5","5","4","5","5","4","5"
"1131",1131,"financial","stable","others","average","3","4","3","4","2","2","3","2","3","3","2","2","2","4","4","4","3","2","4","3","3","3","3","3","3","4","3","4","4","3","3","3","3","3","3","2","4","2","2","4","4","4","3","4"
"1132",1132,"fmcg","growth","public","average","3","2","3","3","3","3","2","3","3","3","3","3","4","4","4","3","3","3","4","3","2","3","4","4","4","4","4","4","3","4","4","4","3","3","2","4","4","3","2","2","4","4","4","2"
"1133",1133,"fmcg","stable","gov-linked","average","3","2","4","3","2","3","4","4","2","3","3","2","3","4","3","3","4","3","4","2","2","3","3","4","3","4","2","4","4","3","3","4","3","4","4","4","3","3","4","3","3","4","3","4"
"1134",1134,"technology","growth","government","belowaverage","4","3","3","4","4","3","2","2","3","4","4","3","3","4","2","4","4","4","3","4","2","3","3","4","2","4","4","3","3","4","4","3","2","3","2","3","3","2","3","2","4","3","3","3"
"1135",1135,"others","growth","private","average","2","3","2","4","2","3","3","3","2","3","3","3","3","4","3","4","4","3","2","4","3","3","4","2","2","3","3","4","4","4","2","2","4","3","3","3","3","3","4","2","3","3","4","3"
"1136",1136,"utilities","decline","private","average","3","2","4","3","3","3","3","3","4","3","4","4","4","4","3","4","3","3","3","3","3","3","3","4","4","3","4","3","4","4","4","4","3","3","4","2","2","2","2","2","2","2","4","3"
"1137",1137,"financial","stable","private","aboveaverage","3","5","4","3","5","5","5","4","4","4","5","4","5","4","5","4","4","4","4","4","4","5","4","4","5","5","5","4","4","4","4","4","5","4","4","5","5","4","4","4","5","5","4","4"
"1138",1138,"utilities","stable","public","aboveaverage","3","5","4","4","4","5","4","4","5","5","4","4","5","4","5","5","4","4","5","4","4","4","4","4","4","5","5","4","4","4","4","5","4","4","4","4","5","4","5","4","5","4","4","5"
"1139",1139,"technology","growth","others","aboveaverage","4","3","4","3","5","4","4","4","4","4","4","4","5","4","4","5","4","4","5","5","4","4","4","5","5","4","4","5","4","4","4","5","4","4","5","5","4","5","4","5","5","4","4","4"
"1140",1140,"financial","growth","private","aboveaverage","5","5","3","4","5","4","4","4","4","5","5","4","5","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","4","4","4","5","4","4","4"
"1141",1141,"others","decline","private","average","3","3","3","2","2","3","3","3","4","4","3","2","4","4","3","2","3","2","3","3","2","4","4","3","4","4","3","4","4","4","3","3","4","3","4","3","4","3","4","4","3","3","2","3"
"1142",1142,"technology","stable","public","average","2","2","3","4","2","4","3","4","2","3","3","3","3","3","4","4","3","2","3","3","3","4","2","2","3","3","3","3","4","3","4","3","4","4","4","4","2","2","4","3","4","3","4","4"
"1143",1143,"others","growth","others","average","4","4","3","3","2","4","3","2","3","2","4","4","2","4","3","4","2","2","3","3","3","4","4","2","3","3","3","3","4","3","4","3","2","2","3","4","4","4","4","3","3","2","4","4"
"1144",1144,"services","startup","others","average","2","2","3","2","3","4","3","3","3","4","4","4","4","2","3","4","4","3","3","2","3","4","3","3","3","2","2","2","3","3","3","3","2","4","3","3","4","4","2","3","3","3","2","3"
"1145",1145,"fmcg","stable","gov-linked","average","4","3","3","4","4","2","2","3","3","4","4","2","4","2","3","3","3","3","3","2","3","4","3","2","4","2","2","4","3","3","4","4","4","3","3","3","3","2","2","3","3","4","2","3"
"1146",1146,"fmcg","stable","private","aboveaverage","5","4","3","2","4","5","5","5","4","5","5","4","4","4","4","5","5","4","4","4","4","5","4","5","4","5","4","4","5","4","4","4","4","4","5","5","4","4","4","5","4","4","5","5"
"1147",1147,"fmcg","growth","government","aboveaverage","5","5","4","3","5","4","4","5","5","5","4","4","4","4","4","4","4","4","4","5","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","5","4","4","5","4","4"
"1148",1148,"services","stable","public","average","2","3","4","3","2","2","2","2","4","4","2","2","3","3","4","2","3","3","3","3","4","3","3","3","3","4","3","4","3","3","4","3","3","3","3","4","3","3","3","4","2","3","3","3"
"1149",1149,"technology","stable","private","average","3","2","3","2","2","4","2","3","3","4","2","2","3","2","4","3","3","4","2","3","2","4","3","3","2","4","3","4","3","3","4","4","3","3","4","3","2","4","4","3","4","3","3","4"
"1150",1150,"technology","growth","private","average","4","3","3","2","2","4","3","4","4","3","4","3","3","2","3","2","4","2","3","2","3","3","2","2","3","2","3","3","4","3","2","3","3","2","3","3","4","2","3","4","2","4","4","3"
"1151",1151,"technology","growth","others","aboveaverage","3","5","4","3","4","5","4","4","4","5","4","4","5","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","5","5","4","5","4","5","4","4","5","5","5","4","4","4","4","5"
"1152",1152,"technology","stable","others","aboveaverage","3","3","2","3","4","5","4","5","5","4","5","5","5","4","4","4","4","4","4","5","4","4","5","5","4","4","4","4","5","4","4","4","4","5","5","5","4","4","4","4","4","4","5","4"
"1153",1153,"government","growth","government","average","2","2","4","2","2","2","3","3","2","2","2","4","3","4","3","3","2","4","4","3","3","2","3","2","3","2","3","3","2","3","3","3","3","4","2","2","4","3","3","3","2","4","4","3"
"1154",1154,"utilities","growth","private","aboveaverage","3","3","3","2","4","5","5","4","4","4","4","5","4","4","5","4","4","4","5","5","5","4","4","5","4","4","4","4","4","4","4","5","4","4","4","4","4","4","5","4","4","4","4","5"
"1155",1155,"utilities","growth","gov-linked","aboveaverage","3","3","2","3","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","5","4","5","5","4","4","4","4","5","5","4","4","5","4","5","4","4","4","4","4","4","5","4","4","5"
"1156",1156,"utilities","trough","private","average","2","4","3","3","3","3","3","3","3","4","4","4","3","4","4","3","3","4","3","2","4","3","4","2","3","4","3","2","3","3","3","4","3","3","4","4","2","4","3","2","3","3","2","3"
"1157",1157,"fmcg","stable","government","average","4","4","2","4","3","2","3","3","4","4","4","4","3","2","4","2","3","2","3","2","3","4","2","3","2","2","3","3","3","3","4","4","3","3","2","2","2","3","3","3","3","3","2","3"
"1158",1158,"others","stable","government","average","4","3","4","2","4","2","3","2","3","2","4","3","3","4","4","3","2","2","4","2","4","3","4","3","4","2","4","2","3","4","3","4","4","4","4","3","3","3","3","4","3","4","3","3"
"1159",1159,"fmcg","growth","private","aboveaverage","5","5","3","2","4","5","4","5","4","4","5","5","4","5","4","4","4","5","4","5","5","4","4","4","4","5","4","4","4","4","4","5","4","4","4","4","4","4","4","5","4","5","4","4"
"1160",1160,"utilities","growth","others","average","3","2","3","3","2","4","4","2","4","3","2","3","2","3","2","2","4","3","3","3","3","4","2","3","4","3","4","3","2","3","4","3","3","3","3","3","4","2","4","3","3","4","3","3"
"1161",1161,"others","stable","public","average","3","2","3","3","4","4","3","3","3","3","2","3","3","4","3","2","3","3","3","3","4","3","2","3","4","4","3","4","4","4","3","4","4","2","2","4","3","4","3","4","4","2","4","3"
"1162",1162,"others","startup","gov-linked","average","3","3","4","4","4","3","4","4","3","4","4","3","4","2","3","4","3","4","3","3","3","3","4","3","4","4","2","4","3","4","3","3","2","3","3","4","3","2","3","3","2","3","4","3"
"1163",1163,"technology","stable","others","average","2","2","4","3","2","3","4","4","4","2","4","3","2","3","3","4","3","2","4","4","3","4","4","4","4","3","3","4","3","3","4","3","2","3","4","4","3","3","3","2","3","4","4","3"
"1164",1164,"others","growth","gov-linked","aboveaverage","3","5","2","4","4","4","5","5","4","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4"
"1165",1165,"services","decline","private","average","2","3","2","4","3","4","2","3","2","4","3","4","3","4","3","4","2","3","4","3","2","3","2","4","2","3","2","3","4","2","4","3","2","4","3","4","2","4","2","3","2","3","3","3"
"1166",1166,"technology","decline","others","aboveaverage","4","4","4","4","4","4","4","5","5","5","4","5","5","4","5","5","5","4","5","5","5","4","4","5","5","5","4","5","5","4","5","5","5","4","5","5","5","4","5","4","4","5","5","5"
"1167",1167,"technology","stable","public","aboveaverage","3","3","4","3","4","4","5","4","4","4","4","4","4","5","4","4","4","4","4","4","5","4","4","5","4","4","4","4","4","4","4","5","4","5","4","4","5","4","4","5","5","4","4","4"
"1168",1168,"technology","growth","others","average","3","2","4","3","3","3","3","2","3","3","3","3","2","3","4","3","3","4","4","2","4","4","3","3","4","3","2","3","3","3","2","4","4","3","3","4","3","3","3","4","4","3","4","2"
"1169",1169,"government","decline","government","average","2","2","4","3","3","3","4","4","3","4","2","4","3","3","4","4","2","2","4","2","3","2","4","4","3","3","3","2","4","4","2","4","2","3","2","4","3","4","2","4","2","4","4","3"
"1170",1170,"financial","stable","others","average","3","3","4","3","2","3","2","2","4","4","2","3","4","4","4","2","3","3","3","2","3","4","4","4","2","4","2","4","2","4","2","3","3","3","2","3","4","3","4","3","4","4","3","3"
"1171",1171,"others","growth","private","average","2","2","4","3","3","4","2","4","4","2","3","2","4","4","3","2","3","4","4","3","4","3","4","3","3","3","3","3","3","3","4","4","4","4","2","3","3","2","4","3","3","4","3","4"
"1172",1172,"others","startup","private","aboveaverage","5","5","3","3","4","4","4","5","4","4","4","4","4","4","4","4","5","4","4","5","5","5","4","4","4","4","5","5","4","4","4","4","4","5","4","5","4","4","4","5","5","4","5","5"
"1173",1173,"technology","growth","gov-linked","average","3","3","3","4","2","2","4","4","3","2","3","4","3","3","2","2","4","4","3","3","3","3","4","2","4","4","3","3","2","2","3","3","4","2","3","3","3","4","3","3","3","4","3","2"
"1174",1174,"technology","growth","public","aboveaverage","3","5","2","2","4","4","4","4","5","4","4","4","5","4","4","4","4","4","5","4","4","5","4","4","4","5","4","4","4","5","4","5","4","4","4","5","4","4","5","4","4","4","4","5"
"1175",1175,"others","growth","public","average","3","4","2","4","2","3","4","3","2","4","4","2","3","2","2","4","4","4","3","4","2","3","2","2","4","4","3","4","3","3","4","3","4","4","4","4","3","2","3","4","3","2","3","4"
"1176",1176,"utilities","stable","public","average","2","2","2","3","2","3","4","3","3","2","2","3","3","4","3","3","2","2","4","4","4","3","3","3","2","3","4","3","2","3","3","4","3","4","2","3","4","4","3","4","4","3","3","3"
"1177",1177,"technology","startup","private","belowaverage","3","2","4","3","5","4","3","3","2","3","2","3","3","4","3","3","2","3","4","3","4","3","3","3","4","3","4","2","2","3","3","3","4","2","3","2","4","3","4","3","3","4","4","4"
"1178",1178,"technology","growth","private","average","2","2","3","3","2","2","3","2","3","3","4","3","4","3","2","4","2","4","4","4","3","4","2","3","3","4","2","2","4","3","4","3","2","2","3","3","3","4","4","4","2","4","2","3"
"1179",1179,"others","growth","public","average","4","3","3","4","2","3","2","4","3","3","2","2","2","2","4","3","2","3","2","4","2","4","3","2","3","3","4","4","4","3","3","3","3","4","3","4","2","4","2","3","2","3","4","4"
"1180",1180,"technology","growth","others","aboveaverage","4","5","4","4","5","4","4","4","5","5","4","4","4","4","4","4","4","4","5","4","4","5","4","4","4","5","5","4","5","4","4","4","5","4","5","5","4","4","4","4","4","5","4","4"
"1181",1181,"financial","growth","others","average","3","4","3","2","2","3","4","3","4","3","3","3","4","3","3","4","3","2","3","4","3","3","4","4","3","4","3","4","3","4","3","4","3","3","4","3","3","3","2","4","3","4","2","3"
"1182",1182,"technology","trough","public","average","2","2","4","4","2","3","3","3","2","3","2","3","4","3","3","4","3","3","3","3","4","3","2","3","3","3","4","4","3","4","4","3","3","4","3","3","2","3","4","4","4","3","2","2"
"1183",1183,"financial","growth","others","average","3","4","3","3","3","3","4","3","4","3","2","3","4","4","4","3","4","3","3","3","2","4","3","2","2","4","3","4","4","2","4","3","3","3","3","4","3","4","4","3","4","2","2","4"
"1184",1184,"others","stable","public","average","3","3","2","4","2","4","4","2","4","3","2","3","4","4","3","2","4","2","2","4","2","4","3","2","3","4","3","3","3","3","3","4","4","3","3","3","4","3","2","3","4","4","3","4"
"1185",1185,"technology","stable","gov-linked","average","2","3","3","2","2","4","3","3","4","4","4","4","4","4","2","3","3","3","3","4","3","2","3","2","4","4","3","4","3","4","4","4","4","4","4","3","4","4","4","3","3","2","4","3"
"1186",1186,"others","startup","public","exceptional","5","4","4","3","3","4","5","5","4","4","4","4","5","5","4","5","4","5","4","5","4","4","5","4","4","4","5","4","4","4","4","5","5","5","4","5","4","4","5","4","4","5","4","5"
"1187",1187,"financial","trough","private","average","3","3","3","2","3","4","3","3","3","3","2","2","2","4","3","4","4","3","4","3","3","4","3","2","3","4","4","4","3","3","3","3","4","4","4","3","3","3","3","2","2","3","2","3"
"1188",1188,"government","growth","government","average","3","4","3","3","2","4","3","3","4","3","3","4","3","3","4","4","4","2","2","2","4","3","4","4","2","4","3","4","2","3","3","4","2","3","4","2","2","3","3","4","3","3","3","3"
"1189",1189,"others","stable","private","average","3","2","2","3","2","2","4","4","4","4","3","3","4","2","3","4","3","3","3","4","3","2","3","4","3","3","3","4","4","4","4","3","3","3","3","3","4","2","3","2","3","4","3","3"
"1190",1190,"financial","startup","public","average","2","3","4","3","4","4","2","4","4","4","4","3","3","4","3","3","4","4","4","4","3","3","3","3","4","3","4","3","3","3","3","3","4","4","4","2","3","3","3","3","3","3","3","4"
"1191",1191,"others","stable","public","average","4","3","4","4","2","3","4","3","3","2","2","4","3","3","3","3","4","4","3","3","3","4","3","2","3","4","3","3","4","4","4","4","4","4","2","2","4","3","3","2","4","4","4","3"
"1192",1192,"technology","growth","private","belowaverage","4","2","3","4","2","2","3","4","3","4","4","4","3","3","3","2","3","3","4","3","3","3","3","4","3","3","2","2","2","3","4","3","4","4","3","3","4","3","2","3","3","4","3","3"
"1193",1193,"fmcg","growth","public","average","2","2","4","3","2","3","4","3","4","3","4","4","2","3","3","4","4","3","4","2","3","2","4","2","4","3","4","4","4","4","3","4","4","4","4","2","3","2","2","4","3","3","3","3"
"1194",1194,"financial","growth","others","aboveaverage","3","4","4","3","4","4","4","4","5","4","5","4","4","5","4","4","4","4","4","4","4","5","4","4","4","4","4","5","5","5","5","4","4","4","4","5","4","4","4","4","5","4","4","4"
"1195",1195,"technology","stable","gov-linked","aboveaverage","5","3","2","2","4","4","4","4","5","4","4","5","5","4","4","4","4","5","5","4","4","4","4","4","4","5","4","4","5","4","4","4","5","5","4","5","4","5","4","4","5","4","4","4"
"1196",1196,"services","growth","others","average","2","3","4","3","2","3","4","4","2","3","3","4","4","3","4","4","3","3","4","2","4","2","3","4","2","3","3","2","3","4","2","2","2","4","3","4","3","3","3","3","4","3","3","3"
"1197",1197,"others","stable","private","average","4","4","3","2","3","4","4","3","3","4","3","2","3","3","3","4","4","4","2","3","3","2","3","4","2","2","2","4","2","4","3","2","4","3","2","3","3","4","4","3","2","3","3","4"
"1198",1198,"utilities","growth","private","average","3","3","3","3","2","4","2","2","3","4","4","3","4","3","2","4","3","3","3","3","3","3","3","4","4","3","3","4","4","3","4","3","3","3","3","4","2","3","2","4","3","4","3","3"
"1199",1199,"services","growth","private","average","3","3","4","3","3","3","4","2","3","3","3","3","4","3","2","2","3","4","4","3","2","4","3","3","3","3","3","4","2","3","2","4","4","3","4","4","2","4","3","4","3","4","4","2"
"1200",1200,"services","growth","public","average","3","3","4","4","3","4","4","4","3","4","3","3","2","4","3","4","3","4","3","3","3","3","3","4","3","3","3","3","3","4","4","4","3","3","3","3","3","2","4","3","4","4","3","2"
"1201",1201,"government","stable","government","average","2","3","2","3","2","2","2","3","3","3","4","2","2","4","2","4","2","4","4","2","4","3","3","4","2","3","4","3","3","2","4","3","3","4","3","4","4","4","4","3","4","4","2","2"
"1202",1202,"technology","stable","gov-linked","average","2","2","4","2","3","3","3","2","4","4","4","4","4","4","4","4","4","3","3","4","4","2","3","3","3","4","3","3","3","3","2","4","4","2","2","3","4","3","4","3","2","2","3","4"
"1203",1203,"financial","stable","government","aboveaverage","3","3","3","4","5","4","4","4","5","5","5","4","4","5","4","4","5","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","5","4","4","5","5","5","5","4"
"1204",1204,"utilities","startup","others","aboveaverage","4","3","4","3","4","4","4","4","4","4","4","5","5","4","4","4","5","4","4","5","5","5","4","5","5","4","4","4","5","4","4","4","4","4","5","4","4","4","4","4","4","4","5","5"
"1205",1205,"technology","growth","others","average","2","4","2","3","4","3","3","4","2","2","2","4","4","3","3","4","3","4","4","4","4","4","4","4","2","4","4","3","3","3","3","2","3","3","3","4","2","2","3","2","4","2","4","3"
"1206",1206,"technology","startup","private","aboveaverage","5","3","3","3","3","5","4","5","4","4","4","5","5","5","5","5","4","5","4","4","4","4","5","4","4","5","4","4","5","4","5","5","4","4","5","5","5","4","4","4","5","4","5","4"
"1207",1207,"financial","growth","others","aboveaverage","3","4","4","3","4","4","4","4","4","4","5","4","4","5","5","4","5","4","4","4","4","5","4","4","4","4","4","5","4","5","4","4","4","5","4","4","4","4","4","5","5","4","4","4"
"1208",1208,"others","stable","public","average","2","3","4","4","4","4","2","3","3","2","4","3","3","4","3","3","2","3","3","4","4","4","4","4","3","4","4","3","2","3","3","4","3","4","3","3","4","3","2","4","3","2","4","3"
"1209",1209,"services","growth","others","aboveaverage","3","3","4","3","4","4","4","4","5","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","5","4","4","5","5","5","4","4","4","4","5","5","4","4","4","5","5","4","5","4"
"1210",1210,"fmcg","stable","private","average","4","2","4","2","4","2","3","2","3","4","2","3","4","2","2","2","3","2","3","4","4","2","3","3","4","3","4","3","4","4","3","3","4","4","2","2","4","3","3","3","3","3","2","2"
"1211",1211,"financial","startup","government","average","4","3","2","3","4","2","4","3","4","3","3","4","3","3","3","3","4","4","3","4","4","4","3","3","4","2","4","2","3","2","3","3","3","4","4","3","4","4","4","3","3","2","4","4"
"1212",1212,"technology","stable","government","aboveaverage","4","3","3","4","5","4","4","5","5","5","4","4","4","5","5","5","4","4","4","4","4","5","4","5","4","4","4","4","5","4","5","4","4","4","5","4","4","4","4","4","4","4","4","5"
"1213",1213,"financial","stable","private","average","3","3","4","3","2","3","4","3","4","4","3","3","4","3","2","3","3","3","3","3","3","3","2","4","4","4","3","3","3","2","4","3","3","4","2","3","3","3","3","3","4","3","4","4"
"1214",1214,"services","stable","gov-linked","aboveaverage","4","3","3","3","4","5","4","4","4","5","5","4","4","5","5","4","5","5","5","4","4","4","5","4","4","5","4","5","4","4","5","5","5","5","4","4","4","4","4","5","4","4","4","4"
"1215",1215,"utilities","growth","private","average","3","3","2","3","4","3","3","3","3","3","4","3","4","2","2","3","2","2","4","3","2","3","3","3","2","3","3","4","3","2","4","4","2","3","3","4","3","3","4","4","4","2","3","3"
"1216",1216,"services","growth","private","aboveaverage","3","3","4","3","4","4","4","4","4","5","4","5","4","4","4","4","4","5","5","4","4","4","5","4","4","4","4","5","4","4","4","5","4","4","4","4","5","5","4","4","4","4","4","4"
"1217",1217,"others","stable","others","aboveaverage","4","3","3","3","4","4","4","4","4","4","5","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","4","4","4","4","5","4","5","5","5","5","4","4","4","4","4"
"1218",1218,"utilities","growth","private","aboveaverage","5","4","4","4","5","4","5","4","4","5","4","4","4","4","4","5","4","4","4","5","5","4","4","5","4","5","4","4","4","4","4","5","5","5","4","4","5","5","4","5","4","4","5","5"
"1219",1219,"services","stable","private","belowaverage","4","2","2","3","2","3","4","3","4","4","4","4","4","2","3","4","3","3","3","4","3","4","3","4","3","3","3","4","4","3","4","3","2","3","4","3","4","2","3","3","3","3","3","3"
"1220",1220,"services","growth","public","belowaverage","2","2","3","3","2","3","3","4","3","3","4","2","4","3","3","3","3","4","3","4","4","3","4","2","4","2","4","3","3","2","3","3","2","3","2","4","3","4","3","4","4","4","4","3"
"1221",1221,"utilities","startup","private","aboveaverage","4","5","4","2","3","4","4","4","5","5","5","5","4","4","5","4","4","5","5","4","5","5","4","4","5","4","5","5","4","4","4","4","4","4","4","4","4","4","5","4","5","4","4","5"
"1222",1222,"fmcg","stable","public","average","3","2","3","3","3","2","3","2","4","3","2","3","4","4","2","3","3","2","4","2","4","3","3","4","4","4","3","3","3","3","2","3","3","4","3","3","3","4","4","3","3","4","2","3"
"1223",1223,"government","growth","government","average","4","3","4","3","2","2","3","2","4","4","4","2","4","2","3","4","4","3","4","4","2","3","3","2","3","3","4","3","2","3","2","3","2","4","3","4","4","2","2","3","4","3","4","3"
"1224",1224,"services","startup","public","aboveaverage","5","3","4","2","5","4","4","5","4","4","5","5","4","4","4","4","5","4","5","4","4","4","5","5","4","5","4","5","4","5","4","4","5","4","5","5","5","4","4","4","4","4","4","4"
"1225",1225,"fmcg","growth","public","average","4","4","4","4","3","2","4","2","4","4","4","3","4","4","4","2","4","3","2","3","3","4","2","3","3","4","2","3","4","4","3","3","2","4","3","2","3","3","2","2","2","4","3","2"
"1226",1226,"fmcg","growth","private","average","4","3","3","4","2","4","3","2","2","4","4","4","4","3","4","3","3","4","4","3","2","2","2","2","3","4","4","3","3","3","3","4","2","4","3","4","3","2","2","4","4","2","4","2"
"1227",1227,"technology","startup","private","average","2","3","3","3","5","3","3","3","4","3","4","4","4","3","4","4","3","3","3","3","4","3","3","3","4","3","4","4","4","2","4","3","3","2","4","2","4","3","3","4","2","3","2","3"
"1228",1228,"technology","growth","private","average","3","2","2","4","2","3","2","3","4","4","2","2","3","2","2","4","4","3","3","2","4","4","4","3","2","2","3","3","2","4","3","4","4","2","3","2","3","3","4","4","4","3","2","3"
"1229",1229,"government","startup","government","average","3","2","4","2","4","4","3","3","3","2","3","4","4","4","3","4","4","3","3","2","3","4","3","4","4","3","3","4","4","4","4","4","3","3","3","3","4","3","4","4","2","2","3","2"
"1230",1230,"others","stable","private","average","2","4","3","2","2","3","2","3","2","3","3","3","4","3","3","4","2","3","2","3","4","3","3","3","2","4","2","4","3","2","2","2","3","3","2","3","2","3","4","4","2","2","4","4"
"1231",1231,"technology","startup","private","average","4","2","3","3","4","4","4","2","2","2","3","4","4","3","3","3","2","2","3","3","2","3","4","2","4","2","4","2","4","3","3","2","2","4","4","2","2","3","2","2","3","4","3","3"
